"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"2052443461857812806","Thu May 07 17:40:28 +0000 2026","0","komdigi gratis ongkir","2052443461857812806","","","in","","0","0","0","https://x.com/undefined/status/2052443461857812806","1303393431654260737",
"2052443021707469159","Thu May 07 17:38:43 +0000 2026","0","komdigi gratis ongkir gk jelas jir","2052443021707469159","","","in","","0","0","0","https://x.com/undefined/status/2052443021707469159","1303393431654260737",
"2027305700427522148","Mon Mar 02 01:26:27 +0000 2026","1","@_katakita08 @doctor__fabre Komdigi sibuk ngurusin fre ongkir","2028280745362653688","","_katakita08","in","","0","0","0","https://x.com/undefined/status/2028280745362653688","1374686160748830724",
"2016738074940805382","Thu Jan 29 05:08:55 +0000 2026","66","@tempodotco Sudah berapa kali data pribadi WNI bocor dan apa yg komdigi lakukan mereka lebih tertarik mengatur 1 orang 1 akun sosmed pembatasan gratis ongkir blokir grok SIM card maksimal 3 per NIK","2016740315689029739","","tempodotco","in","","0","0","3","https://x.com/undefined/status/2016740315689029739","1829801785609109504",
"1995631281837953172","Mon Dec 01 23:09:09 +0000 2025","0","Gitu komdigi sok2 an ngatur diskon / subsidi ongkir di marketplace dengan alasan supaya persaingan bisnis lebih fair. Tp jelas2 ada kayak gini diem.","1995631281837953172","","","in","","0","0","0","https://x.com/undefined/status/1995631281837953172","1696021858645344256",
"1993480321187373349","Wed Nov 26 00:48:48 +0000 2025","0","@txtdrimedia Komdigi lagi sibuk satu orang satu akun yang punya hp wajib daftar pakai pemindai wajah mebatasi free ongkir di e-commerce dan sibuk nyalahin Cloudflare maraknya judol","1993482034753491122","","txtdrimedia","in","","0","0","0","https://x.com/undefined/status/1993482034753491122","1829801785609109504",
"1984282936938467824","Sat Nov 01 06:23:56 +0000 2025","4","@__AnakKolong @meutya_hafid @kemkomdigi @KemensetnegRI @setkabgoid Menteri Free Ongkir ini sering buat kegaduhan dengan statement nya yang super TOLOL. Menteri Komdigi tapi ga ngerti IT samgat bodoh sekali","1984506677421543929","","__AnakKolong","in","","0","0","0","https://x.com/undefined/status/1984506677421543929","1410466956134608899",
"1953352953361756412","Thu Aug 07 08:16:51 +0000 2025","0","@tanyakanrl Soal batasin ongkar ongkir sih paling gercep tuh si komdigi mah. Soal ginian melempem","1953369736168735098","","tanyakanrl","in","","0","0","0","https://x.com/undefined/status/1953369736168735098","1691576611261542401",
"1951265147789648203","Mon Aug 04 10:51:53 +0000 2025","0","@PPATK Yg anda bekuin ntu tabungan warga malih bukan tabunga judol. Bedakan itu dlu deh. Kalau mau sasar judol kenapa engga kerjasama sama komdigi? Oh lupa komdigi ngurusin perihal ongkir ya? Ckckckc kerjaannya apa eh malah kerja ini. Bilang aja engha bisa kerja.","1952321588067455142","","PPATK","in","","0","0","0","https://x.com/undefined/status/1952321588067455142","1450056695728664576",
"1948343267055333546","Thu Jul 24 16:30:52 +0000 2025","5","@__AnakKolong @KemensetnegRI @meutya_hafid @kemkomdigi @prabowo nahh keguoblokan Komdigi mulai ditunjukkan sudah lah kalau memang tak mau diganti menterinya. lebih baik suruh diam saja urus tuh free ongkir","1948420627892756653","","__AnakKolong","in","","0","0","0","https://x.com/undefined/status/1948420627892756653","1410466956134608899",
"1943472326781415902","Fri Jul 11 01:02:11 +0000 2025","4","@V3g3L Komdigi sibuk ngurusin gratis ongkir Polisi sibuk menanam jagung ","1943475874608906577","","P3gEl","in","","0","0","0","https://x.com/undefined/status/1943475874608906577","1374686160748830724",
"1943264388397568315","Thu Jul 10 23:59:17 +0000 2025","1","@TaliUdeng @puanmaharani_ri Komdigi suruh ngurusin judol aja daripada ngurusin gratis ongkir","1943460046597427506","","TaliUdeng","in","","0","0","0","https://x.com/undefined/status/1943460046597427506","1374686160748830724",
"1943107751561040062","Thu Jul 10 00:55:24 +0000 2025","4","@DS_yantie @puanmaharani_ri peran dari komdigi? hanya menghabiskan apbn saja dan jangan lupa program andalan komdigi 'PEMBATASN FREE ONGKIR' Itu lah keguoblokan dan ketololan menterinya https://t.co/Z9qWycSiwV","1943111782664671388","https://pbs.twimg.com/media/GvdRqA0bwAAjex4.png","DS_yantie","in","","0","1","0","https://x.com/undefined/status/1943111782664671388","1410466956134608899",
"1942884216951419006","Thu Jul 10 00:41:25 +0000 2025","2","Komdigi masih sibuk ngurusin gratis ongkir kayaknya ya https://t.co/59D5qMexS1","1943108262205010384","","DS_yantie","in","","0","0","0","https://x.com/undefined/status/1943108262205010384","1374686160748830724",
"1942961310884610558","Wed Jul 09 15:05:22 +0000 2025","2","@MARQUEZ__93 Buat AI hanya untuk membatasi FREE ONGKIR saja? itu lah menteri give away setiap hari menunjukkan keguoblokan dan kedunguan nya. yang mengherankan 1 kantor komdigi mengapa diam saja? apakah mereka semua sama level keguoblokannya?","1942963292944973994","","MARQUEZ__93","in","","0","1","1","https://x.com/undefined/status/1942963292944973994","1410466956134608899",
